37.340727107,126.733292461
37.340746671,126.733383258
37.340736389,126.733486115
37.340733570,126.733513406
37.340713303,126.733589357
37.340683105,126.733641189
37.340659151,126.733699113
37.340608228,126.733773892
37.340581298,126.733792839
37.340524608,126.733857327
37.340490807,126.733924616
37.340447463,126.733988005
37.340413208,126.734031588
37.340381581,126.734008820
37.340313102,126.733952281
37.340251330,126.733896935
37.340201542,126.733856576
37.340147843,126.733815636
37.340080638,126.733767430
37.340017330,126.733719106
37.339949354,126.733659761
37.339875709,126.733624305
37.339820319,126.733611321
