37.340727390,126.733292419
37.340709246,126.733392803
37.340698826,126.733430818
37.340677126,126.733520138
37.340656842,126.733596150
37.340626620,126.733648025
37.340602646,126.733705996
37.340551681,126.733780836
37.340524730,126.733799799
37.340467993,126.733864339
37.340434165,126.733931682
37.340390785,126.733995123
37.340356503,126.734038742
37.340324849,126.734015956
37.340256314,126.733959370
37.340194492,126.733903979
37.340144663,126.733863587
37.340090921,126.733822614
37.340064242,126.733797584
37.340008244,126.733755283
37.339965738,126.733718860
37.339899989,126.733662191
37.339831588,126.733612584
37.339820419,126.733611523
